ticker,date,adj_close,volume
JPM,2023-10-03,143.1063,3512056
LMT,2023-10-13,467.5881,1213152
NVDA,2023-10-13,422.5725,8013152
SPY,2023-10-13,442.4948,20013152
JPM,2023-10-13,143.3712,3513152
LMT,2023-10-25,469.2975,1214248
NVDA,2023-10-25,426.497,8014248
SPY,2023-10-25,443.7574,20014248
JPM,2023-10-25,143.7228,3514248
LMT,2023-11-02,470.2838,1215070
NVDA,2023-11-02,429.191,8015070
SPY,2023-11-02,444.4234,20015070
JPM,2023-11-02,143.8954,3515070
LMT,2023-11-06,470.5895,1215344
NVDA,2023-11-06,430.0713,8015344
SPY,2023-11-06,444.6234,20015344
JPM,2023-11-06,143.9457,3515344
LMT,2023-11-16,472.1682,1216440
NVDA,2023-11-16,433.9354,8016440
SPY,2023-11-16,445.7584,20016440
JPM,2023-11-16,144.2555,3516440
LMT,2023-11-28,473.6812,1217536
NVDA,2023-11-28,437.7687,8017536
SPY,2023-11-28,446.8293,20017536
JPM,2023-11-28,144.5442,3517536
LMT,2023-12-08,475.1277,1218632
NVDA,2023-12-08,441.5697,8018632
SPY,2023-12-08,447.8355,20018632
JPM,2023-12-08,144.8118,3518632
LMT,2023-12-20,476.8647,1219728
NVDA,2023-12-20,445.6707,8019728
SPY,2023-12-20,449.1134,20019728
JPM,2023-12-20,145.167,3519728
LMT,2024-01-01,478.1775,1220824
NVDA,2024-01-01,449.4056,8020824
SPY,2024-01-01,449.9899,20020824
JPM,2024-01-01,145.3921,3520824
LMT,2024-01-08,479.1346,1221509
NVDA,2024-01-08,451.8827,8021509
SPY,2024-01-08,450.6652,20021509
JPM,2024-01-08,145.5739,3521509
LMT,2024-01-11,479.7817,1221920
NVDA,2024-01-11,453.4435,8021920
SPY,2024-01-11,451.1385,20021920
JPM,2024-01-11,145.705,3521920
LMT,2024-01-22,481.0545,1222879
NVDA,2024-01-22,456.878,8022879
SPY,2024-01-22,452.0189,20022879
JPM,2024-01-22,145.9382,3522879
LMT,2024-01-23,481.3191,1223016
NVDA,2024-01-23,457.4491,8023016
SPY,2024-01-23,452.2223,20023016
JPM,2024-01-23,145.9966,3523016
